Nodo,Tipo,Nivel,X_m,Y_m,Z_m,X_cm,Y_cm,Z_cm
1,Base,Cimentación,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,Base,Cimentación,5.0000,0.0000,0.0000,500.0000,0.0000,0.0000
11,Base,Cimentación,10.0000,0.0000,0.0000,1000.0000,0.0000,0.0000
2,Base,Cimentación,0.0000,5.0000,0.0000,0.0000,500.0000,0.0000
7,Base,Cimentación,5.0000,5.0000,0.0000,500.0000,500.0000,0.0000
12,Base,Cimentación,10.0000,5.0000,0.0000,1000.0000,500.0000,0.0000
3,Base,Cimentación,0.0000,10.0000,0.0000,0.0000,1000.0000,0.0000
8,Base,Cimentación,5.0000,10.0000,0.0000,500.0000,1000.0000,0.0000
13,Base,Cimentación,10.0000,10.0000,0.0000,1000.0000,1000.0000,0.0000
4,Base,Cimentación,0.0000,15.0000,0.0000,0.0000,1500.0000,0.0000
9,Base,Cimentación,5.0000,15.0000,0.0000,500.0000,1500.0000,0.0000
14,Base,Cimentación,10.0000,15.0000,0.0000,1000.0000,1500.0000,0.0000
5,Base,Cimentación,0.0000,18.0000,0.0000,0.0000,1800.0000,0.0000
10,Base,Cimentación,5.0000,18.0000,0.0000,500.0000,1800.0000,0.0000
15,Base,Cimentación,10.0000,18.0000,0.0000,1000.0000,1800.0000,0.0000
16,Estructura,Nivel 2,0.0000,-0.6000,4.0000,0.0000,-60.0000,400.0000
22,Estructura,Nivel 2,5.0000,-0.6000,4.0000,500.0000,-60.0000,400.0000
28,Estructura,Nivel 2,10.0000,-0.6000,4.0000,1000.0000,-60.0000,400.0000
17,Estructura,Nivel 2,0.0000,0.0000,4.0000,0.0000,0.0000,400.0000
23,Estructura,Nivel 2,5.0000,0.0000,4.0000,500.0000,0.0000,400.0000
29,Estructura,Nivel 2,10.0000,0.0000,4.0000,1000.0000,0.0000,400.0000
18,Estructura,Nivel 2,0.0000,5.0000,4.0000,0.0000,500.0000,400.0000
24,Estructura,Nivel 2,5.0000,5.0000,4.0000,500.0000,500.0000,400.0000
30,Estructura,Nivel 2,10.0000,5.0000,4.0000,1000.0000,500.0000,400.0000
19,Estructura,Nivel 2,0.0000,10.0000,4.0000,0.0000,1000.0000,400.0000
25,Estructura,Nivel 2,5.0000,10.0000,4.0000,500.0000,1000.0000,400.0000
31,Estructura,Nivel 2,10.0000,10.0000,4.0000,1000.0000,1000.0000,400.0000
20,Estructura,Nivel 2,0.0000,15.0000,4.0000,0.0000,1500.0000,400.0000
26,Estructura,Nivel 2,5.0000,15.0000,4.0000,500.0000,1500.0000,400.0000
32,Estructura,Nivel 2,10.0000,15.0000,4.0000,1000.0000,1500.0000,400.0000
21,Estructura,Nivel 2,0.0000,18.0000,4.0000,0.0000,1800.0000,400.0000
27,Estructura,Nivel 2,5.0000,18.0000,4.0000,500.0000,1800.0000,400.0000
33,Estructura,Nivel 2,10.0000,18.0000,4.0000,1000.0000,1800.0000,400.0000
34,Estructura,Nivel 3,0.0000,-0.6000,7.0000,0.0000,-60.0000,700.0000
40,Estructura,Nivel 3,5.0000,-0.6000,7.0000,500.0000,-60.0000,700.0000
46,Estructura,Nivel 3,10.0000,-0.6000,7.0000,1000.0000,-60.0000,700.0000
35,Estructura,Nivel 3,0.0000,0.0000,7.0000,0.0000,0.0000,700.0000
41,Estructura,Nivel 3,5.0000,0.0000,7.0000,500.0000,0.0000,700.0000
47,Estructura,Nivel 3,10.0000,0.0000,7.0000,1000.0000,0.0000,700.0000
36,Estructura,Nivel 3,0.0000,5.0000,7.0000,0.0000,500.0000,700.0000
42,Estructura,Nivel 3,5.0000,5.0000,7.0000,500.0000,500.0000,700.0000
48,Estructura,Nivel 3,10.0000,5.0000,7.0000,1000.0000,500.0000,700.0000
37,Estructura,Nivel 3,0.0000,10.0000,7.0000,0.0000,1000.0000,700.0000
43,Estructura,Nivel 3,5.0000,10.0000,7.0000,500.0000,1000.0000,700.0000
49,Estructura,Nivel 3,10.0000,10.0000,7.0000,1000.0000,1000.0000,700.0000
38,Estructura,Nivel 3,0.0000,15.0000,7.0000,0.0000,1500.0000,700.0000
44,Estructura,Nivel 3,5.0000,15.0000,7.0000,500.0000,1500.0000,700.0000
50,Estructura,Nivel 3,10.0000,15.0000,7.0000,1000.0000,1500.0000,700.0000
39,Estructura,Nivel 3,0.0000,18.0000,7.0000,0.0000,1800.0000,700.0000
45,Estructura,Nivel 3,5.0000,18.0000,7.0000,500.0000,1800.0000,700.0000
51,Estructura,Nivel 3,10.0000,18.0000,7.0000,1000.0000,1800.0000,700.0000
52,Estructura,Nivel 4,0.0000,-0.6000,10.0000,0.0000,-60.0000,1000.0000
58,Estructura,Nivel 4,5.0000,-0.6000,10.0000,500.0000,-60.0000,1000.0000
64,Estructura,Nivel 4,10.0000,-0.6000,10.0000,1000.0000,-60.0000,1000.0000
53,Estructura,Nivel 4,0.0000,0.0000,10.0000,0.0000,0.0000,1000.0000
59,Estructura,Nivel 4,5.0000,0.0000,10.0000,500.0000,0.0000,1000.0000
65,Estructura,Nivel 4,10.0000,0.0000,10.0000,1000.0000,0.0000,1000.0000
